gaze_x,gaze_y,pupil_x,pupil_y,pred_x,pred_y
360,935,183.178466796875,243.626708984375,744.8548140065601,683.4678737467384
360,935,180.98410034179688,243.2441864013672,748.0696084084792,674.1888283788716
360,935,176.2626190185547,244.37692260742188,764.0160311346722,653.5325352527543
360,935,180.94558715820312,244.46958923339844,753.8143886565563,673.5905578697594
360,935,178.84075927734375,243.17300415039062,752.6059611543869,665.018667262718
360,935,4.337947845458984,42.492027282714844,222.20335260710374,-12.711412162039657
360,935,355.4994812011719,13.076959609985352,-710.6691373700037,1504.229212486916
360,935,32.15877151489258,27.492122650146484,89.80468348585308,111.94567021289893
360,935,220.40582275390625,232.7030487060547,609.9240276763063,847.0401660453562
360,935,182.4413604736328,244.67018127441406,751.3453442827682,679.9368058611764
360,935,184.20285034179688,244.00315856933594,744.2676240779219,687.7296295555384
360,935,183.5128936767578,242.96112060546875,741.0228812071404,685.1378354294701
360,935,183.0926055908203,242.003662109375,737.5565223622611,683.6730783505146
360,935,183.83734130859375,241.43270874023438,733.2301703548252,687.0698954103168
360,935,184.16949462890625,241.4452362060547,732.5340805899992,688.4904654375072
360,935,182.67034912109375,241.02145385742188,733.980368267117,682.2086228084124
360,935,178.93199157714844,241.0686798095703,742.6837689833445,666.1537120928243
360,935,182.14370727539062,240.89263916015625,734.5810429713287,679.9947567221551
360,935,179.4643096923828,240.62623596191406,739.4328597757046,668.593806031667
360,935,180.0268096923828,240.28341674804688,736.573384075354,671.12817954501
360,935,183.60919189453125,242.04794311523438,736.5884020364821,685.8736775172238
360,935,183.1412353515625,241.3747100830078,734.5424358569788,684.1039725097738
900,935,179.25230407714844,242.82980346679688,750.0873643184835,666.9055508084552
900,935,174.67503356933594,242.51490783691406,759.0231201290569,647.3795228702799
900,935,180.28175354003906,242.69525146484375,747.1295157949273,671.3696218954593
900,935,179.70277404785156,242.29486083984375,746.5951925248202,669.0271895010926
900,935,179.2106475830078,242.73731994628906,749.754944665297,666.7595195296697
900,935,172.07350158691406,271.51568603515625,898.8170745540468,625.9699727689456
900,935,178.74754333496094,276.3377990722656,905.9306782117727,652.8987294815396
900,935,178.56784057617188,275.9269714355469,904.4418866584351,652.2729539067234
900,935,174.89056396484375,273.48907470703125,901.5334873874666,637.3583026521925
900,935,176.74441528320312,274.26080322265625,900.8884599331608,645.0389367361129
900,935,176.38400268554688,273.39984130859375,897.7316942891254,643.7969555094268
900,935,174.66262817382812,273.1431579589844,900.4538522751728,636.5026600549868
900,935,178.2084197998047,274.79510498046875,900.0321747600344,651.130962055329
900,935,179.0420379638672,275.42523193359375,901.0491481698274,654.4846538866216
900,935,174.5272674560547,273.68988037109375,903.2851692973251,635.7287335168721
900,935,177.9750213623047,274.7740478515625,900.4647302404219,650.1370823926858
900,935,178.7373809814453,275.2021179199219,900.7106037036608,653.2564667192823
900,935,177.29908752441406,275.83538818359375,906.8989024906675,646.8621410535321
